date,pitcher_id,pitcher_name,team,opponent,venue_home_team,line_strikeouts,line_outs,proj_strikeouts,proj_outs,adj_strikeouts,adj_outs,k_factor,outs_factor,opponent_k_rate,park_factor_used,recent_ip_per_start,recent_ip_weighted,league_avg_k_rate,edge_dir_ks,edge_dir_outs,diff_ks,diff_outs,diff_adj_ks,diff_adj_outs,over_odds_ks,under_odds_ks,over_odds_outs,under_odds_outs,actual_strikeouts,actual_outs,outcome_source
2025-09-09,681347,Mike Burrows,Pittsburgh Pirates,Boston Red Sox,Boston Red Sox,4.5,,4.9,15,5.0,15,1.017,1.001961620469083,0.2296,1.05,4.94,4.83,0.22019333333333335,,,0.40000000000000036,,0.5,,-115,-115,,,6,12,boxscore
2025-09-09,702070,Noah Cameron,Kansas City Royals,Detroit Tigers,Kansas City Royals,4.5,15.5,4.4,16,4.7,16,1.062,1.002174840085288,0.2351,1.01,5.14,5.49,0.22019333333333335,,,-0.09999999999999964,0.5,0.20000000000000018,0.5,105,-135,-130,-110,8,21,boxscore
2025-09-09,676282,Joey Cantillo,Cleveland Guardians,Seattle Mariners,Cleveland Guardians,5.5,15.5,8.5,21,9.1,21,1.065,0.9932196162046908,0.2322,0.98,5.26,7.06,0.22019333333333335,OVER,OVER,3.0,5.5,3.5999999999999996,5.5,130,-170,-130,-110,5,24,boxscore
2025-09-09,680730,Mitchell Parker,Washington Nationals,Tampa Bay Rays,Washington Nationals,3.5,15.5,3.2,15,3.3,15,1.026,1.0168869936034115,0.2281,1.02,4.6,4.94,0.22019333333333335,,,-0.2999999999999998,-0.5,-0.20000000000000018,-0.5,-145,110,-130,-110,2,23,boxscore
2025-09-09,800049,Adam Mazur,Miami Marlins,New York Mets,New York Mets,3.5,15.5,5.0,16,4.7,16,0.949,0.9819189765458421,0.2101,1.01,5.23,5.21,0.22019333333333335,OVER,,1.5,0.5,1.2000000000000002,0.5,-170,130,-125,-115,1,13,boxscore
2025-09-09,640455,Sean Manaea,New York Mets,Miami Marlins,New York Mets,5.5,15.5,6.0,15,5.6,15,0.936,1.0098507462686568,0.2071,1.01,4.4,4.86,0.22019333333333335,,,0.5,-0.5,0.09999999999999964,-0.5,-160,120,140,-180,5,15,boxscore
2025-09-09,624133,Ranger Suárez,Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,5.5,18.5,6.0,19,6.0,19,1.005,0.9836247334754797,0.2259,1.04,6.0,6.18,0.22019333333333335,,,0.5,0.5,0.5,0.5,105,-135,140,-180,12,18,boxscore
2025-09-09,663554,Casey Mize,Detroit Tigers,Kansas City Royals,Kansas City Royals,4.5,14.5,4.6,16,3.8,16,0.828,1.0256289978678037,0.1832,1.01,5.06,5.22,0.22019333333333335,,,0.09999999999999964,1.5,-0.7000000000000002,1.5,-120,-110,-175,135,8,18,boxscore
2025-09-09,701542,Will Warren,New York Yankees,Chicago White Sox,Chicago White Sox,5.5,15.5,5.5,15,5.5,15,1.009,0.9994029850746269,0.2232,1.01,5.06,4.94,0.22019333333333335,,,0.0,-0.5,0.0,-0.5,115,-150,135,-175,5,18,boxscore
2025-09-09,472610,Luis García,Washington Nationals,Tampa Bay Rays,Washington Nationals,3.5,15.5,3.5,15,3.6,15,1.026,1.0168869936034115,0.2281,1.02,,,0.22019333333333335,,,0.0,-0.5,0.10000000000000009,-0.5,-150,115,135,-175,,,
2025-09-09,690990,Cade Horton,Chicago Cubs,Colorado Rockies,Colorado Rockies,3.5,,4.3,16,4.6,17,1.067,1.0347974413646055,0.2539,1.15,4.86,5.23,0.22019333333333335,OVER,,0.7999999999999998,,1.0999999999999996,,-170,130,,,2,19,boxscore
2025-09-09,675911,Spencer Strider,Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,,,5.8,15,5.5,15,0.944,0.9959914712153518,0.2121,1.04,4.74,5.04,0.22019333333333335,,,,,,,,,,,8,18,boxscore
2025-09-09,672782,Yoendrys Gómez,New York Yankees,Chicago White Sox,Chicago White Sox,,,2.4,15,2.4,15,1.009,0.9994029850746269,0.2232,1.01,4.74,4.9,0.22019333333333335,,,,,,,,,,,5,15,boxscore
2025-09-09,683004,Jack Leiter,Texas Rangers,Athletics,Athletics,4.5,15.5,5.0,16,5.2,16,1.05,1.0028144989339018,0.2255,0.95,5.54,5.22,0.22019333333333335,,,0.5,0.5,0.7000000000000002,0.5,-110,-120,125,-165,4,14,boxscore
2025-09-09,805673,Zebby Matthews,Minnesota Twins,San Diego Padres,Minnesota Twins,,,6.4,15,5.4,15,0.847,0.997910447761194,0.1884,1.02,5.26,4.95,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,543294,Kyle Hendricks,Los Angeles Angels,Houston Astros,Houston Astros,3.5,15.5,3.5,16,3.4,16,0.971,1.012409381663113,0.2116,0.98,5.14,5.18,0.22019333333333335,,,0.0,0.5,-0.10000000000000009,0.5,-125,-105,-125,-115,,,
2025-09-09,641793,Zack Littell,Tampa Bay Rays,Washington Nationals,Washington Nationals,,,3.8,17,3.7,17,0.981,1.0166737739872067,0.2183,1.02,5.0,5.63,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,650633,Michael King,San Diego Padres,Minnesota Twins,Minnesota Twins,,,5.8,15,5.8,15,0.997,1.0043070362473348,0.2217,1.02,4.94,5.1,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,669461,Matthew Liberatore,St. Louis Cardinals,Cincinnati Reds,Cincinnati Reds,,,3.9,15,4.1,15,1.041,0.9951385927505331,0.2316,1.02,4.74,5.05,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,669923,George Kirby,Seattle Mariners,Cleveland Guardians,Cleveland Guardians,,,5.6,16,5.8,16,1.037,1.0023880597014925,0.226,0.98,5.34,5.5,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,668678,Zac Gallen,Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers,,,5.2,17,5.3,17,1.018,0.9746695095948827,0.2208,0.97,5.8,5.79,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,592662,Robbie Ray,San Francisco Giants,Baltimore Orioles,San Francisco Giants,,,5.6,17,6.2,17,1.11,1.015820895522388,0.2374,0.94,5.34,5.67,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,669160,Dustin May,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,,,5.1,16,5.0,16,0.977,0.9940724946695095,0.212,0.97,5.06,5.49,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,605488,Jeffrey Springs,Athletics,Texas Rangers,Athletics,,,4.4,16,4.5,16,1.014,1.0064392324093816,0.2179,0.95,5.0,5.48,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,608566,Germán Márquez,Colorado Rockies,Chicago Cubs,Colorado Rockies,,,3.6,15,3.1,15,0.855,0.988955223880597,0.2035,1.15,4.86,4.89,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,686218,Emmet Sheehan,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,,,6.1,17,6.0,17,0.977,0.9940724946695095,0.212,0.97,5.54,5.73,0.22019333333333335,,,,,,,,,,,,,
2025-09-09,669456,Shane Bieber,Toronto Blue Jays,Milwaukee Brewers,Toronto Blue Jays,,,8.9,18,8.2,18,0.919,0.9881023454157782,0.2034,1.01,5.77,5.91,0.22019333333333335,,,,,,,,,,,4,17,boxscore
2025-09-09,605288,Adrian Houser,Chicago White Sox,New York Yankees,Chicago White Sox,3.5,16.5,4.1,18,4.3,17,1.039,0.9625159914712154,0.2299,1.01,5.46,5.9,0.22019333333333335,,,0.5999999999999996,1.5,0.7999999999999998,0.5,-180,135,-130,-110,9,16,boxscore
2025-09-10,642547,Freddy Peralta,Milwaukee Brewers,Texas Rangers,Texas Rangers,,,6.0,17,5.8,17,0.96,1.0064392324093816,0.2179,1.06,5.6,5.51,0.22019333333333335,,,,,,,,,,,9,15,boxscore
2025-09-10,518876,Merrill Kelly,Texas Rangers,Milwaukee Brewers,Texas Rangers,,,5.4,18,4.8,18,0.896,0.9881023454157782,0.2034,1.06,6.46,6.06,0.22019333333333335,,,,,,,,,,,6,17,boxscore
2025-09-10,593958,Eduardo Rodriguez,Arizona Diamondbacks,San Francisco Giants,San Francisco Giants,,,5.4,16,5.7,16,1.058,0.9893816631130063,0.2261,0.94,5.6,5.41,0.22019333333333335,,,,,,,,,,,6,19,boxscore
2025-09-10,693313,Carson Seymour,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,,,4.0,15,4.0,15,0.992,0.9940724946695095,0.212,0.94,4.0,,0.22019333333333335,,,,,,,,,,,1,4,boxscore
2025-09-10,671737,Taj Bradley,Minnesota Twins,Los Angeles Angels,Los Angeles Angels,,,1.0,14,1.2,14,1.191,1.001961620469083,0.2649,1.02,4.54,4.82,0.22019333333333335,,,,,,,,,,,5,19,boxscore
2025-09-10,667755,José Soriano,Los Angeles Angels,Minnesota Twins,Los Angeles Angels,,,4.9,17,4.9,17,0.997,1.0043070362473348,0.2217,1.02,5.34,5.56,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,694973,Paul Skenes,Pittsburgh Pirates,Baltimore Orioles,Baltimore Orioles,,,6.7,18,7.1,18,1.062,1.015820895522388,0.2374,1.03,5.96,5.96,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,680742,Jonathan Bowlan,Kansas City Royals,Cleveland Guardians,Cleveland Guardians,,,4.6,15,4.8,15,1.037,1.0023880597014925,0.226,0.98,,,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,671106,Logan Allen,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,,,4.2,16,3.5,16,0.84,1.0256289978678037,0.1832,0.98,5.34,5.34,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,663623,Jake Irvin,Washington Nationals,Miami Marlins,Miami Marlins,,,3.7,16,3.5,16,0.955,1.0098507462686568,0.2071,0.97,5.49,5.49,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,691587,Eury Pérez,Miami Marlins,Washington Nationals,Miami Marlins,,,5.0,15,5.0,15,1.006,1.0166737739872067,0.2183,0.97,5.01,5.01,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,605280,Clay Holmes,New York Mets,Philadelphia Phillies,Philadelphia Phillies,,,4.2,16,4.0,16,0.944,0.9959914712153518,0.2121,1.04,5.27,5.27,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,650911,Cristopher Sánchez,Philadelphia Phillies,New York Mets,Philadelphia Phillies,,,6.8,19,6.4,19,0.935,0.9819189765458421,0.2101,1.04,6.28,6.28,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,656427,Jack Flaherty,Detroit Tigers,New York Yankees,New York Yankees,,,6.3,16,6.4,15,1.023,0.9625159914712154,0.2299,1.04,5.24,5.24,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,607074,Carlos Rodón,New York Yankees,Detroit Tigers,New York Yankees,,,6.4,18,6.7,18,1.046,1.002174840085288,0.2351,1.04,5.86,5.86,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,669920,Jason Alexander,Houston Astros,Toronto Blue Jays,Toronto Blue Jays,,,4.2,15,3.3,15,0.794,0.9983368869936033,0.1758,1.01,,,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,621244,José Berríos,Toronto Blue Jays,Houston Astros,Toronto Blue Jays,,,4.8,17,4.6,17,0.956,1.012409381663113,0.2116,1.01,5.64,5.64,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,519242,Chris Sale,Atlanta Braves,Chicago Cubs,Atlanta Braves,,,7.6,18,6.9,18,0.91,0.988955223880597,0.2035,1.03,5.94,5.94,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,643377,Griffin Jax,Tampa Bay Rays,Chicago White Sox,Chicago White Sox,,,7.8,15,7.9,15,1.009,0.9994029850746269,0.2232,1.01,,,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,671096,Andrew Abbott,Cincinnati Reds,San Diego Padres,San Diego Padres,,,5.1,17,4.5,17,0.873,0.997910447761194,0.1884,0.96,5.83,5.83,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,601713,Nick Pivetta,San Diego Padres,Cincinnati Reds,San Diego Padres,,,6.2,18,6.7,18,1.073,0.9951385927505331,0.2316,0.96,5.89,5.89,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,700241,Michael McGreevy,St. Louis Cardinals,Seattle Mariners,Seattle Mariners,,,3.7,19,4.0,19,1.076,0.9932196162046908,0.2322,0.96,6.33,6.33,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,669302,Logan Gilbert,Seattle Mariners,St. Louis Cardinals,Seattle Mariners,,,7.3,15,7.3,15,0.994,1.0107036247334755,0.2146,0.96,5.12,5.12,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,607536,Kyle Freeland,Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,,,3.8,16,3.9,16,1.018,0.9746695095948827,0.2208,0.97,5.21,5.21,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,605483,Blake Snell,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,,,5.0,16,5.9,17,1.17,1.0347974413646055,0.2539,0.97,5.33,5.33,0.22019333333333335,,,,,,,,,,,,,
2025-09-10,801139,Payton Tolle,Boston Red Sox,Athletics,Athletics,,,5.0,12,5.2,12,1.05,1.0028144989339018,0.2255,0.95,4.15,,0.22019333333333335,,,,,,,,,,,2,6,boxscore
2025-09-10,686930,Mason Barnett,Athletics,Boston Red Sox,Athletics,,,4.5,14,4.8,14,1.069,1.001961620469083,0.2296,0.95,4.5,,0.22019333333333335,,,,,,,,,,,4,11,boxscore
2025-09-10,669330,Tyler Wells,Baltimore Orioles,Pittsburgh Pirates,Baltimore Orioles,5.5,15.5,4.0,15,4.2,15,1.055,0.9919402985074626,0.2359,1.03,,,0.22019333333333335,UNDER,,-1.5,-0.5,-1.2999999999999998,-0.5,130,-170,-115,-125,,,
2025-09-19,684007,Shota Imanaga,shota imanaga,Chicago Cubs,Cincinnati Reds,Cincinnati Reds,4.5,17.5,4.9,18,5.1,18,1.041,0.9951385927505331,0.2316,1.02,6.2,5.95,0.22019333333333335,,,0.40000000000000036,0.5,0.5999999999999996,0.5,-135,105,-115,-125,,
2025-09-19,666157,Nick Lodolo,nick lodolo,Cincinnati Reds,Chicago Cubs,Cincinnati Reds,4.5,16.5,4.9,15,4.5,15,0.915,0.988955223880597,0.2035,1.02,4.4,5.13,0.22019333333333335,,,0.40000000000000036,-1.5,0.0,-1.5,-135,105,-105,-135,,
2025-09-19,622663,Luis Severino,luis severino,Athletics,Pittsburgh Pirates,Pittsburgh Pirates,4.5,15.5,4.1,16,4.4,16,1.077,0.9919402985074626,0.2359,0.99,5.2,5.48,0.22019333333333335,,,-0.40000000000000036,0.5,-0.09999999999999964,0.5,105,-135,115,-155,,
2025-09-19,693821,Bryce Elder,bryce elder,Atlanta Braves,Detroit Tigers,Detroit Tigers,4.5,17.5,4.6,17,4.9,17,1.068,1.002174840085288,0.2351,1.0,6.14,5.65,0.22019333333333335,,,0.09999999999999964,-0.5,0.40000000000000036,-0.5,105,-135,115,-155,,
2025-09-19,450203,Charlie Morton,charlie morton,Detroit Tigers,Atlanta Braves,Detroit Tigers,4.5,15.5,6.6,15,6.8,15,1.026,0.9836247334754797,0.2259,1.0,4.34,5.05,0.22019333333333335,OVER,,2.0999999999999996,-0.5,2.3,-0.5,-115,-115,160,-230,,
2025-09-19,701542,Will Warren,will warren,New York Yankees,Baltimore Orioles,Baltimore Orioles,4.5,15.5,5.5,15,5.8,15,1.062,1.015820895522388,0.2374,1.03,5.06,4.94,0.22019333333333335,OVER,,1.0,-0.5,1.2999999999999998,-0.5,-150,115,145,-190,,
2025-09-19,669432,Trevor Rogers,trevor rogers,Baltimore Orioles,New York Yankees,Baltimore Orioles,5.5,15.5,5.8,19,6.0,18,1.028,0.9625159914712154,0.2299,1.03,6.39,6.39,0.22019333333333335,,OVER,0.2999999999999998,3.5,0.5,2.5,105,-135,-115,-125,,
2025-09-19,676979,Garrett Crochet,garrett crochet,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,7.5,18.5,8.0,19,8.4,19,1.051,1.0168869936034115,0.2281,0.97,6.39,6.39,0.22019333333333335,,,0.5,0.5,0.9000000000000004,0.5,-145,110,135,-175,,
2025-09-19,656876,Drew Rasmussen,drew rasmussen,Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays,,,4.3,15,4.6,15,1.058,1.001961620469083,0.2296,0.97,4.93,4.93,0.22019333333333335,,,,,,,,,,2,9,boxscore
2025-09-19,453286,Max Scherzer,max scherzer,Toronto Blue Jays,Kansas City Royals,Kansas City Royals,4.5,16.5,5.1,16,4.2,16,0.828,1.0256289978678037,0.1832,1.01,5.46,5.46,0.22019333333333335,,,0.5999999999999996,-0.5,-0.2999999999999998,-0.5,-130,,-130,-110,,
2025-09-19,547179,Michael Lorenzen,michael lorenzen,Kansas City Royals,Toronto Blue Jays,Kansas City Royals,3.5,,4.7,16,3.7,16,0.794,0.9983368869936033,0.1758,1.01,5.4,5.4,0.22019333333333335,OVER,,1.2000000000000002,,0.20000000000000018,,-120,-110,,4,23,boxscore
2025-09-19,656302,Dylan Cease,dylan cease,San Diego Padres,Chicago White Sox,Chicago White Sox,6.5,16.5,6.8,16,6.9,16,1.009,0.9994029850746269,0.2232,1.01,5.28,5.28,0.22019333333333335,,,0.2999999999999998,-0.5,0.40000000000000036,-0.5,105,-135,-125,-115,,
2025-09-19,663436,Davis Martin,davis martin,Chicago White Sox,San Diego Padres,Chicago White Sox,3.5,15.5,4.2,18,3.6,18,0.851,0.997910447761194,0.1884,1.01,5.9,5.9,0.22019333333333335,OVER,OVER,0.7000000000000002,2.5,0.10000000000000009,2.5,105,-135,-125,-115,,
2025-09-19,676083,Janson Junk,janson junk,Miami Marlins,Texas Rangers,Texas Rangers,3.5,15.5,5.1,22,4.9,22,0.96,1.0064392324093816,0.2179,1.06,7.33,7.33,0.22019333333333335,OVER,OVER,1.5999999999999996,6.5,1.4000000000000004,6.5,-115,-115,120,-160,,
2025-09-19,641816,Tyler Mahle,tyler mahle,Texas Rangers,Miami Marlins,Texas Rangers,3.5,,4.0,16,3.6,16,0.912,1.0098507462686568,0.2071,1.06,5.5,5.5,0.22019333333333335,,,0.5,,0.10000000000000009,,125,-165,,6,14,boxscore
2025-09-19,687134,Bradley Blalock,bradley blalock,Colorado Rockies,Los Angeles Angels,Colorado Rockies,2.5,14.5,2.4,16,2.7,16,1.113,1.001961620469083,0.2649,1.15,5.22,5.22,0.22019333333333335,,,-0.10000000000000009,1.5,0.20000000000000018,1.5,-170,130,-120,-120,,
2025-09-19,693433,Bryan Woo,bryan woo,Seattle Mariners,Houston Astros,Houston Astros,6.5,18.5,6.4,19,6.2,19,0.971,1.012409381663113,0.2116,0.98,6.36,6.36,0.22019333333333335,,,-0.09999999999999964,0.5,-0.2999999999999998,0.5,110,-145,125,-165,,
2025-09-19,686613,Hunter Brown,hunter brown,Houston Astros,Seattle Mariners,Houston Astros,6.5,17.5,6.9,18,7.3,18,1.065,0.9932196162046908,0.2322,0.98,6.26,6.08,0.22019333333333335,,,0.40000000000000036,0.5,0.7999999999999998,0.5,105,-135,-120,-120,,
2025-09-19,800048,Parker Messick,parker messick,Cleveland Guardians,Minnesota Twins,Minnesota Twins,4.5,16.5,6.0,19,6.0,19,0.997,1.0043070362473348,0.2217,1.02,,,0.22019333333333335,OVER,OVER,1.5,2.5,1.5,2.5,-115,-115,110,-150,,
2025-09-19,641154,Pablo López,pablo lopez,Minnesota Twins,Cleveland Guardians,Minnesota Twins,5.5,17.5,5.5,16,5.6,16,1.016,1.0023880597014925,0.226,1.02,5.47,5.47,0.22019333333333335,,,0.0,-1.5,0.09999999999999964,-1.5,105,-135,-115,-125,,
2025-09-19,694819,Jacob Misiorowski,jacob misiorowski,Milwaukee Brewers,St. Louis Cardinals,St. Louis Cardinals,5.5,,6.1,13,5.9,13,0.975,1.0107036247334755,0.2146,1.0,4.24,4.24,0.22019333333333335,,,0.5999999999999996,,0.40000000000000036,,115,-150,,3,11,boxscore
2025-09-19,543243,Sonny Gray,sonny gray,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,5.5,,6.2,17,5.7,17,0.924,0.9881023454157782,0.2034,1.0,5.58,5.58,0.22019333333333335,OVER,,0.7000000000000002,,0.20000000000000018,,115,-150,,7,18,boxscore
2025-09-19,592836,Taijuan Walker,taijuan walker,Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks,,,4.4,18,4.2,18,0.944,0.9940724946695095,0.212,1.04,6.01,6.01,0.22019333333333335,,,,,,,,,,2,12,boxscore
2025-09-19,669194,Ryne Nelson,ryne nelson,Arizona Diamondbacks,Philadelphia Phillies,Arizona Diamondbacks,4.5,16.5,6.2,21,5.9,21,0.944,0.9959914712153518,0.2121,1.04,7.0,7.0,0.22019333333333335,OVER,OVER,1.7000000000000002,4.5,1.4000000000000004,4.5,-145,110,-130,-110,,
2025-09-19,592662,Robbie Ray,robbie ray,San Francisco Giants,Los Angeles Dodgers,Los Angeles Dodgers,5.5,15.5,5.6,17,5.7,17,1.018,0.9746695095948827,0.2208,0.97,5.34,5.67,0.22019333333333335,,,0.09999999999999964,1.5,0.20000000000000018,1.5,120,-160,110,-150,,
2025-09-19,477132,Clayton Kershaw,clayton kershaw,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,4.5,14.5,3.2,16,3.3,16,1.042,0.9893816631130063,0.2261,0.97,5.19,5.19,0.22019333333333335,UNDER,,-1.2999999999999998,1.5,-1.2000000000000002,1.5,105,-135,-190,145,,
2025-09-20,666214,Joey Wentz,joey wentz,Atlanta Braves,Detroit Tigers,Detroit Tigers,,,4.4,15,4.7,15,1.068,1.002174840085288,0.2351,1.0,4.06,4.88,0.22019333333333335,,,,,,,,,,7,15,boxscore
2025-09-20,672456,Keider Montero,keider montero,Detroit Tigers,Atlanta Braves,Detroit Tigers,,,4.9,20,5.0,20,1.026,0.9836247334754797,0.2259,1.0,4.8,6.79,0.22019333333333335,,,,,,,,,,2,9,boxscore
2025-09-20,677944,Slade Cecconi,slade cecconi,Cleveland Guardians,Minnesota Twins,Minnesota Twins,,,4.8,18,4.8,18,0.997,1.0043070362473348,0.2217,1.02,6.2,5.87,0.22019333333333335,,,,,,,,,,,,
2025-09-20,657746,Joe Ryan,joe ryan,Minnesota Twins,Cleveland Guardians,Minnesota Twins,,,6.2,17,6.3,17,1.016,1.0023880597014925,0.226,1.02,4.94,5.55,0.22019333333333335,,,,,,,,,,,,
2025-09-20,671106,Logan Allen,logan allen,Cleveland Guardians,Minnesota Twins,Minnesota Twins,,,4.1,16,4.1,16,0.997,1.0043070362473348,0.2217,1.02,5.14,5.27,0.22019333333333335,,,,,,,,,,7,24,boxscore
